 time            v(NIN)          v(NSKOUT)      
 1.70816341e-04  5.94972869e+00  2.20867810e-01 
 1.71316341e-04  5.81345484e+00  2.29699411e-01 
 1.71816341e-04  5.67350908e+00  2.38430498e-01 
 1.72316341e-04  5.52997981e+00  2.47055281e-01 
 1.72816341e-04  5.38295769e+00  2.55568039e-01 
 1.73316341e-04  5.23253557e+00  2.63963125e-01 
 1.73816341e-04  5.07880848e+00  2.72234966e-01 
 1.74316341e-04  4.92187350e+00  2.80378071e-01 
 1.74816341e-04  4.76182975e+00  2.88387030e-01 
 1.75316341e-04  4.59877834e+00  2.96256520e-01 
 1.75816341e-04  4.43282224e+00  3.03981308e-01 
 1.76316341e-04  4.26406627e+00  3.11556254e-01 
 1.76816341e-04  4.09261703e+00  3.18976313e-01 
 1.77316341e-04  3.91858280e+00  3.26236542e-01 
 1.77816341e-04  3.74207351e+00  3.33332098e-01 
 1.78316341e-04  3.56320065e+00  3.40258246e-01 
 1.78816341e-04  3.38207720e+00  3.47010356e-01 
 1.79316341e-04  3.19881755e+00  3.53583914e-01 
 1.79816341e-04  3.01353746e+00  3.59974517e-01 
 1.80316341e-04  2.82635395e+00  3.66177881e-01 
 1.80816341e-04  2.63738526e+00  3.72189841e-01 
 1.81316341e-04  2.44675074e+00  3.78006353e-01 
 1.81816341e-04  2.25457080e+00  3.83623502e-01 
 1.82316341e-04  2.06096683e+00  3.89037496e-01 
 1.82816341e-04  1.86606110e+00  3.94244676e-01 
 1.83316341e-04  1.66997673e+00  3.99241514e-01 
 1.83816341e-04  1.47283757e+00  4.04024615e-01 
 1.84316341e-04  1.27476813e+00  4.08590723e-01 
 1.84816341e-04  1.07589352e+00  4.12936718e-01 
 1.85316341e-04  8.76339350e-01  4.17059623e-01 
 1.85816341e-04  6.76231668e-01  4.20956602e-01 
 1.86316341e-04  4.75696864e-01  4.24624963e-01 
 1.86816341e-04  2.74861599e-01  4.28062161e-01 
 1.87316341e-04  7.38527255e-02  4.31265796e-01 
 1.87816341e-04 -1.27202795e-01  4.34233620e-01 
 1.88316341e-04 -3.28177971e-01  4.36963532e-01 
 1.88816341e-04 -5.28945863e-01  4.39453587e-01 
 1.89316341e-04 -7.29379662e-01  4.41701989e-01 
 1.89816341e-04 -9.29352768e-01  4.43707098e-01 
 1.90316341e-04 -1.12873888e+00  4.45467427e-01 
 1.90816341e-04 -1.32741205e+00  4.46981649e-01 
 1.91316341e-04 -1.52524680e+00  4.48248589e-01 
 1.91816341e-04 -1.72211817e+00  4.49267233e-01 
 1.92316341e-04 -1.91790181e+00  4.50036723e-01 
 1.92816341e-04 -2.11247407e+00  4.50556362e-01 
 1.93316341e-04 -2.30571204e+00  4.50825610e-01 
 1.93816341e-04 -2.49749368e+00  4.50844087e-01 
 1.94316341e-04 -2.68769784e+00  4.50611573e-01 
